7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
202,205,205,205,205,205,205,205,205,205,205,205,205,205,205,205,202,7
205,205,205,205,205,205,205,205,205,205,205,205,205,205,205,205,205,7
205,205,205,205,205,205,205,205,205,205,205,205,205,205,205,205,205,7
205,205,205,205,205,205,205,205,205,205,205,205,205,205,205,205,205,7
205,205,205,205,205,205,205,205,205,205,205,205,205,205,205,205,205,7
205,205,205,205,205,205,205,205,205,205,205,205,205,205,205,205,205,7
205,205,205,205,205,205,205,205,205,205,205,205,205,205,205,205,205,7
205,205,205,205,205,205,205,205,205,205,205,205,205,205,205,205,205,7
205,205,205,205,205,205,205,205,205,205,205,205,205,205,205,205,205,7
202,205,205,205,205,205,205,205,205,205,205,205,205,205,205,205,202,7
205,205,205,205,205,205,205,205,205,205,205,205,205,205,205,205,205,7
205,205,205,205,205,205,205,205,205,205,205,205,205,205,205,205,205,7
