7,168,161,161,161,161,161,161,161,161,161,161,161,161,169,7
7,181,38,202,202,202,202,202,202,202,202,202,202,202,182,7
7,181,7,7,7,7,7,7,7,7,7,7,7,7,182,7
7,181,7,7,7,7,7,7,7,7,7,7,7,7,182,7
7,181,7,7,7,7,7,7,7,7,7,7,7,7,182,7
7,184,161,161,161,161,161,161,161,162,7,7,156,7,182,7
7,181,202,202,202,202,202,202,202,203,7,7,164,7,182,7
7,181,7,7,7,7,7,7,7,7,7,7,164,7,182,7
7,181,7,7,7,7,7,7,7,7,7,7,164,7,182,7
7,181,7,7,7,7,7,7,7,7,7,7,164,7,182,7
7,181,7,7,7,7,7,7,7,7,7,7,164,7,182,7
7,176,161,161,161,161,161,161,161,161,161,161,178,161,177,7
7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
