168,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,169,7
181,202,202,202,202,202,202,202,202,202,202,202,202,202,202,202,182,7
181,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,182,7
181,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,182,7
181,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,182,7
181,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,182,7
181,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,182,7
181,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,182,7
181,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,182,7
184,161,161,161,161,162,7,7,7,7,7,160,161,161,161,161,185,7
181,202,202,202,202,203,7,7,7,7,7,201,202,202,202,202,182,7
181,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,182,7
176,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,177,7
