7,7,7,7,7,7,7,7,7,182,161,161,181,7,7,7
7,7,7,7,7,7,7,7,7,182,201,38,181,7,7,7
168,161,161,161,161,161,161,170,161,185,7,7,176,169,7,7
181,202,202,202,202,202,202,164,202,182,7,7,201,182,7,7
181,7,7,7,7,7,7,164,7,182,7,7,7,182,7,7
181,7,7,7,7,7,7,164,7,182,7,7,7,182,7,7
181,7,7,7,7,156,7,164,7,182,7,7,7,182,7,7
181,7,7,7,7,164,7,163,7,187,161,162,7,182,7,7
181,7,7,7,7,164,7,171,7,195,202,203,7,182,7,7
181,7,7,7,7,164,7,7,7,7,7,7,7,182,7,7
176,161,161,161,161,178,161,161,161,161,161,161,161,177,7,7
